violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
OVER TIME LIMIT,2017-03-24T11:53:00Z,26,PPA,40.006293,-75.155243,19140
METER EXPIRED,2017-01-16T16:17:00Z,26,PPA,40.07605,-75.205747,19118
METER EXPIRED CC,2017-01-05T12:17:00Z,36,PPA,39.9546893756725,-75.1854457138895,19104
OVER TIME LIMIT,2017-03-25T23:07:00Z,26,PPA,40.03069,-75.22103,19128
PARKING PROHBITED CC,2017-02-10T14:49:00Z,51,PPA,39.955738,-75.172283,19103
SIDEWALK,2017-01-22T13:06:00Z,51,POLICE,39.9651322563082,-75.2344218737696,NA
METER EXPIRED CC,2017-03-31T12:17:00Z,36,PPA,39.94342,-75.164337,19147
METER EXPIRED CC,2017-02-05T17:05:00Z,36,PPA,39.941832,-75.150272,19147
METER EXPIRED,2017-02-04T11:11:00Z,26,PPA,40.041888,-75.027122,19136
OVER TIME LIMIT,2017-03-08T10:30:00Z,26,PPA,40.005518,-75.155428,19140
METER EXPIRED CC,2017-01-06T13:58:00Z,36,PPA,39.961815,-75.155538,19123
METER EXPIRED CC,2017-02-20T21:36:00Z,36,PPA,39.946052,-75.155442,19107
OVER TIME LIMIT,2017-03-16T15:23:00Z,26,PPA,39.965425,-75.173298,19130
STOP PROHIBITED CC,2017-03-02T16:06:00Z,76,PPA,39.94934,-75.167465000000007,19102
DOUBLE PARKED,2017-02-20T13:49:00Z,51,POLICE,39.9349243311528,-75.167472255779,19146
METER EXPIRED CC,2017-02-20T13:00:00Z,36,PPA,39.949983,-75.156903,19107
METER EXPIRED,2017-03-31T14:21:00Z,26,PPA,40.059617,-75.190638,19119
PARKING PROHBITED,2017-03-02T16:40:00Z,41,PPA,39.929012,-75.153623,19147
METER EXPIRED CC,2017-02-19T19:09:00Z,36,PPA,39.948713,-75.142295,19106
METER EXPIRED,2017-02-17T13:30:00Z,26,PPA,39.995443,-75.112625,NA
FIRE HYDRANT,2017-02-15T09:53:00Z,76,HOUSING,39.9356069575851,-75.1505173979211,19147
OVER TIME LIMIT,2017-03-23T14:13:00Z,26,PPA,40.002633,-75.153688,NA
METER EXPIRED CC,2017-03-05T08:27:00Z,36,PPA,39.94896,-75.167973,19103
METER EXPIRED CC,2017-02-23T20:44:00Z,36,PPA,39.959288,-75.150193,19123
BUS ONLY ZONE,2017-02-06T12:34:00Z,51,PPA,40.00125,-75.150908,NA
OVER TIME LIMIT,2017-02-02T11:10:00Z,26,PPA,40.008455,-75.152143,NA
METER EXPIRED,2017-03-31T13:01:00Z,26,PPA,40.040922,-75.144153,19141
METER EXPIRED,2017-02-28T15:42:00Z,26,PPA,40.05774,-75.059835,19152
EXPIRED INSPECTION,2017-03-22T10:39:00Z,41,PPA,39.963118,-75.169465,19130
